deck_id,avg_elixirCost,avg_card_usage,total_hitpoints,num_air,num_troop,num_spell,num_building,num_winconditions,num_cycle_cards,num_air_attackers,num_splash_cards,deck_name,deck_win_rate
162,4.12,6.01,9685.0,4.0,5.0,2.0,1.0,1.0,3.0,4.0,4.0,Deck 162,54.1
163,3.0,7.22,6289.0,0.0,6.0,1.0,1.0,0.0,7.0,3.0,3.0,Deck 163,53.84
164,3.25,6.39,4797.0,1.0,3.0,4.0,1.0,0.0,4.0,5.0,5.0,Deck 164,53.62
165,2.38,7.96,4043.0,1.0,8.0,0.0,0.0,0.0,7.0,2.0,1.0,Deck 165,53.5
166,3.62,3.97,6927.0,1.0,6.0,1.0,1.0,0.0,4.0,2.0,3.0,Deck 166,53.31
167,3.62,6.14,8619.0,1.0,5.0,3.0,0.0,1.0,4.0,4.0,4.0,Deck 167,52.77
168,3.62,8.18,7237.0,1.0,5.0,2.0,1.0,0.0,5.0,3.0,5.0,Deck 168,52.43
169,3.38,6.05,6328.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,Deck 169,51.46
170,2.62,17.0,4751.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,3.0,Deck 170,51.46
171,3.88,7.25,9150.0,1.0,6.0,2.0,0.0,1.0,3.0,3.0,2.0,Deck 171,51.36
172,4.25,4.49,11108.0,1.0,5.0,2.0,1.0,1.0,3.0,4.0,4.0,Deck 172,51.15
174,2.62,15.9,5386.0,0.0,5.0,2.0,1.0,0.0,6.0,3.0,4.0,Deck 174,51.04
175,4.0,5.75,10168.0,1.0,5.0,3.0,0.0,1.0,2.0,5.0,5.0,Deck 175,50.91
176,2.88,15.26,4468.0,0.0,5.0,2.0,1.0,0.0,7.0,5.0,3.0,Deck 176,50.91
177,3.25,7.67,5080.0,0.0,5.0,2.0,1.0,0.0,5.0,3.0,3.0,Deck 177,50.8
178,3.12,10.59,4942.0,1.0,7.0,1.0,0.0,0.0,6.0,3.0,2.0,Deck 178,50.77
179,3.12,11.78,3992.0,0.0,7.0,1.0,0.0,1.0,6.0,2.0,1.0,Deck 179,50.72
180,3.0,5.52,5912.0,0.0,5.0,2.0,1.0,0.0,5.0,2.0,4.0,Deck 180,50.54
181,2.62,13.25,3408.0,0.0,5.0,3.0,0.0,0.0,7.0,4.0,3.0,Deck 181,50.41
182,3.12,6.61,4368.0,0.0,7.0,1.0,0.0,0.0,6.0,2.0,2.0,Deck 182,50.34
183,3.0,12.46,3653.0,0.0,4.0,3.0,1.0,0.0,6.0,5.0,5.0,Deck 183,50.3
184,3.38,15.01,5648.0,0.0,4.0,3.0,1.0,0.0,5.0,4.0,5.0,Deck 184,50.28
185,3.0,13.55,4087.0,0.0,4.0,3.0,1.0,0.0,5.0,4.0,3.0,Deck 185,50.26
186,3.62,10.27,6672.0,1.0,6.0,1.0,1.0,0.0,5.0,2.0,2.0,Deck 186,50.12
187,3.88,5.7,10603.0,0.0,5.0,2.0,1.0,1.0,3.0,4.0,4.0,Deck 187,49.99
188,2.25,9.33,2780.0,1.0,6.0,2.0,0.0,0.0,6.0,2.0,2.0,Deck 188,49.98
189,3.62,4.09,8438.0,0.0,6.0,2.0,0.0,0.0,4.0,4.0,4.0,Deck 189,49.81
190,3.25,7.49,3133.0,1.0,3.0,4.0,1.0,0.0,5.0,5.0,5.0,Deck 190,49.79
191,4.0,6.69,11026.0,3.0,6.0,2.0,0.0,1.0,2.0,4.0,4.0,Deck 191,49.71
192,3.88,10.3,7787.0,2.0,6.0,2.0,0.0,1.0,4.0,4.0,4.0,Deck 192,49.65
193,1.88,9.51,3360.0,1.0,7.0,1.0,0.0,0.0,8.0,2.0,1.0,Deck 193,49.53
194,4.25,4.51,7277.0,0.0,5.0,2.0,1.0,2.0,4.0,2.0,4.0,Deck 194,49.52
195,3.5,10.91,7285.0,1.0,6.0,1.0,1.0,1.0,6.0,3.0,2.0,Deck 195,49.51
196,4.12,6.76,5098.0,1.0,5.0,3.0,0.0,2.0,3.0,4.0,4.0,Deck 196,49.49
197,2.5,7.83,3962.0,0.0,7.0,1.0,0.0,0.0,7.0,2.0,2.0,Deck 197,49.39
198,3.0,12.02,4900.0,0.0,4.0,3.0,1.0,0.0,5.0,4.0,3.0,Deck 198,49.32
199,3.38,6.93,5272.0,0.0,4.0,3.0,1.0,0.0,4.0,5.0,6.0,Deck 199,49.32
201,3.0,4.68,7885.0,2.0,5.0,2.0,1.0,0.0,5.0,3.0,3.0,Deck 201,49.21
